id_empresa,nome_fantasia,municipio,segmento,data_abertura,numero_funcionarios,faturamento_anual,status
1,Empresa 1 LTDA,Joinville,Turismo,2023-02-17,103,1884678.63,Ativo
2,Empresa 2 LTDA,Florianópolis,Comércio,2019-10-11,93,4073357.86,Ativo
3,Empresa 3 LTDA,Criciúma,Turismo,2021-01-11,15,4738880.46,Ativo
4,Empresa 4 LTDA,Chapecó,Tecnologia,2012-01-18,107,4930705.27,Ativo
5,Empresa 5 LTDA,Chapecó,Indústria,2020-07-17,72,3779222.02,Ativo
6,Empresa 6 LTDA,Blumenau,Agronegócio,2017-10-21,21,1912484.95,Ativo
7,Empresa 7 LTDA,Joinville,Turismo,2019-02-28,103,463328.55,Ativo
8,Empresa 8 LTDA,Jaraguá do Sul,Turismo,2017-06-23,122,3896877.23,Ativo
9,Empresa 9 LTDA,Joinville,Agronegócio,2017-03-15,75,2814101.04,Ativo
10,Empresa 10 LTDA,,Indústria,2012-05-06,88,2149898.95,Ativo
11,Empresa 11 LTDA,São José,Tecnologia,2013-08-10,117,4536454.21,Ativo
12,Empresa 12 LTDA,Florianópolis,Comércio,2017-05-25,100,600427.54,Suspenso
13,Empresa 13 LTDA,Florianópolis,Turismo,2019-03-27,104,2488494.27,Ativo
14,Empresa 14 LTDA,Joinville,Indústria,2021-02-10,131,106200.54,Ativo
15,Empresa 15 LTDA,Chapecó,Comércio,2016-06-19,53,2369870.18,Inativo
16,Empresa 16 LTDA,Chapecó,Comércio,2018-12-25,2,,Ativo
17,Empresa 17 LTDA,Jaraguá do Sul,Comércio,2022-05-04,88,638148.69,Ativo
18,Empresa 18 LTDA,Balneário Camboriú,Tecnologia,2010-10-28,38,631754.92,Ativo
19,Empresa 19 LTDA,Florianópolis,Tecnologia,2020-03-14,130,3263591.0,Ativo
20,Empresa 20 LTDA,Jaraguá do Sul,Comércio,2011-12-23,21,3742922.15,Ativo
21,Empresa 21 LTDA,Chapecó,Serviços,2017-01-20,58,2937675.39,Ativo
22,Empresa 22 LTDA,Jaraguá do Sul,Agronegócio,2015-08-30,22,4812754.11,Ativo
23,Empresa 23 LTDA,São José,Tecnologia,2017-04-02,89,1905609.37,Ativo
24,Empresa 24 LTDA,Chapecó,Serviços,2012-08-07,49,1464274.83,Ativo
25,Empresa 25 LTDA,Lages,Serviços,2019-01-25,59,4349565.68,Ativo
26,Empresa 26 LTDA,Balneário Camboriú,Turismo,2021-07-17,15,1156799.4,Ativo
27,Empresa 27 LTDA,Criciúma,Agronegócio,2010-01-10,51,4817951.57,Ativo
28,Empresa 28 LTDA,Florianópolis,Comércio,2022-03-03,108,110164.65,Ativo
29,Empresa 29 LTDA,Blumenau,Turismo,2020-05-12,55,,Ativo
30,Empresa 30 LTDA,São José,Turismo,2019-04-09,64,263641.56,Ativo
31,Empresa 31 LTDA,Itajaí,Serviços,2011-03-21,131,4461158.41,Ativo
32,Empresa 32 LTDA,Criciúma,Serviços,2014-03-17,51,2662120.49,Ativo
33,Empresa 33 LTDA,Blumenau,Serviços,2021-08-18,135,4965175.74,Ativo
34,Empresa 34 LTDA,Chapecó,Comércio,2018-02-11,21,415293.0,Ativo
35,Empresa 35 LTDA,Itajaí,Comércio,2021-03-07,73,2791578.71,Ativo
36,Empresa 36 LTDA,Joinville,Turismo,2019-12-01,18,4848047.55,Ativo
37,Empresa 37 LTDA,Joinville,Turismo,2011-02-27,132,2639334.33,Ativo
38,Empresa 38 LTDA,São José,Tecnologia,2014-07-26,89,3165523.26,Ativo
39,Empresa 39 LTDA,Joinville,Tecnologia,2015-12-28,60,3493956.01,Suspenso
40,Empresa 40 LTDA,Itajaí,Serviços,2022-04-27,14,2299978.27,Ativo
41,Empresa 41 LTDA,,Comércio,2012-12-09,9,3156412.5,Inativo
42,Empresa 42 LTDA,Balneário Camboriú,Comércio,2016-06-17,90,2942355.84,Ativo
43,Empresa 43 LTDA,,Turismo,2019-10-30,53,4510732.15,Ativo
44,Empresa 44 LTDA,Florianópolis,Agronegócio,2020-11-14,130,274959.58,Ativo
45,Empresa 45 LTDA,Lages,Serviços,2012-09-21,84,1440767.79,Ativo
46,Empresa 46 LTDA,Jaraguá do Sul,Tecnologia,2010-08-25,92,4754536.85,Ativo
47,Empresa 47 LTDA,Joinville,Agronegócio,2023-08-28,111,4456805.73,Ativo
48,Empresa 48 LTDA,São José,Comércio,2015-05-15,8,2305500.93,Ativo
49,Empresa 49 LTDA,Joinville,Tecnologia,2013-07-21,35,3119656.36,Ativo
50,Empresa 50 LTDA,Jaraguá do Sul,Serviços,2016-12-20,81,1423036.86,Inativo
51,Empresa 51 LTDA,Criciúma,Comércio,2022-05-10,50,981199.74,Ativo
52,Empresa 52 LTDA,Balneário Camboriú,Serviços,2010-04-23,104,2345307.1,Ativo
53,Empresa 53 LTDA,Itajaí,Turismo,2022-05-22,132,1799093.53,Ativo
54,Empresa 54 LTDA,Balneário Camboriú,Agronegócio,2019-02-25,2,2939097.75,Ativo
55,Empresa 55 LTDA,Chapecó,Agronegócio,2012-02-03,134,434786.45,Ativo
56,Empresa 56 LTDA,Joinville,Agronegócio,2015-01-15,54,4873254.3,Ativo
57,Empresa 57 LTDA,Florianópolis,Indústria,2012-07-18,106,4931743.19,Ativo
58,Empresa 58 LTDA,Chapecó,Serviços,2020-05-08,4,,Ativo
59,Empresa 59 LTDA,Criciúma,Agronegócio,2012-08-20,54,2703677.01,Ativo
60,Empresa 60 LTDA,Joinville,Turismo,2013-06-15,146,1582161.7,Suspenso
61,Empresa 61 LTDA,Chapecó,Agronegócio,2021-03-06,44,4078285.35,Ativo
62,Empresa 62 LTDA,Joinville,Serviços,2016-07-18,14,,Ativo
63,Empresa 63 LTDA,São José,Agronegócio,2021-05-31,95,854953.85,Ativo
64,Empresa 64 LTDA,Criciúma,Serviços,2016-02-18,48,4559089.56,Ativo
65,Empresa 65 LTDA,Lages,Comércio,2019-04-27,15,4121559.35,Ativo
66,Empresa 66 LTDA,,Turismo,2020-10-27,40,4751509.57,Ativo
67,Empresa 67 LTDA,Blumenau,Serviços,2020-08-04,82,3642311.57,Ativo
68,Empresa 68 LTDA,Itajaí,Serviços,2015-06-20,111,3086405.22,Ativo
69,Empresa 69 LTDA,Itajaí,Indústria,2020-03-30,53,2120303.03,Suspenso
70,Empresa 70 LTDA,Chapecó,Comércio,2022-05-13,24,4667005.99,Ativo
71,Empresa 71 LTDA,Criciúma,Turismo,2013-03-30,124,4337016.25,Ativo
72,Empresa 72 LTDA,Joinville,Indústria,2018-08-09,41,273832.42,Ativo
73,Empresa 73 LTDA,Balneário Camboriú,Agronegócio,2014-04-11,15,180516.52,Ativo
74,Empresa 74 LTDA,Blumenau,Serviços,2023-06-12,45,1913493.67,Ativo
75,Empresa 75 LTDA,Jaraguá do Sul,Turismo,2021-05-26,65,4062238.99,Inativo
76,Empresa 76 LTDA,Chapecó,Comércio,2013-01-23,89,4937016.84,Ativo
77,Empresa 77 LTDA,Blumenau,Indústria,2011-07-26,71,794563.61,Suspenso
78,Empresa 78 LTDA,Lages,Serviços,2016-03-13,9,2990947.04,Ativo
79,Empresa 79 LTDA,São José,Tecnologia,2019-04-23,88,1935409.74,Suspenso
80,Empresa 80 LTDA,Criciúma,Turismo,2017-08-16,129,4851076.27,Ativo
81,Empresa 81 LTDA,Jaraguá do Sul,Indústria,2021-05-22,136,4218488.67,Ativo
82,Empresa 82 LTDA,Chapecó,Comércio,2015-12-29,63,4199727.09,Ativo
83,Empresa 83 LTDA,Itajaí,Indústria,2010-01-22,139,2370031.14,Ativo
84,Empresa 84 LTDA,Florianópolis,Indústria,2016-05-06,81,2103356.54,Ativo
85,Empresa 85 LTDA,Chapecó,Indústria,2016-09-11,136,1403365.01,Ativo
86,Empresa 86 LTDA,Florianópolis,Agronegócio,2023-03-02,33,329058.71,Ativo
87,Empresa 87 LTDA,Itajaí,Tecnologia,2023-01-03,123,4330375.76,Ativo
88,Empresa 88 LTDA,São José,Comércio,2020-12-25,5,4073860.0,Ativo
89,Empresa 89 LTDA,Criciúma,Comércio,2013-05-02,41,4998602.48,Ativo
90,Empresa 90 LTDA,Joinville,Comércio,2020-01-07,28,4983352.34,Ativo
91,Empresa 91 LTDA,Chapecó,Serviços,2022-01-30,135,2799386.94,Ativo
92,Empresa 92 LTDA,Balneário Camboriú,Turismo,2020-11-11,72,3856487.71,Ativo
93,Empresa 93 LTDA,Itajaí,Comércio,2017-09-28,12,4726590.36,Suspenso
94,Empresa 94 LTDA,Chapecó,Turismo,2017-06-16,33,4255754.58,Ativo
95,Empresa 95 LTDA,Lages,Comércio,2022-05-19,48,1274373.1,Ativo
96,Empresa 96 LTDA,São José,Tecnologia,2022-03-10,62,2280193.47,Ativo
97,Empresa 97 LTDA,Lages,Serviços,2018-06-18,37,689339.1,Ativo
98,Empresa 98 LTDA,Blumenau,Serviços,2020-03-19,99,4772552.58,Suspenso
99,Empresa 99 LTDA,Criciúma,Indústria,2017-03-21,104,3050564.44,Ativo
100,Empresa 100 LTDA,Blumenau,Agronegócio,2014-03-26,35,1181781.89,Ativo
101,Empresa 101 LTDA,Chapecó,Serviços,2015-05-11,101,3374918.39,Inativo
102,Empresa 102 LTDA,Jaraguá do Sul,Serviços,2022-10-29,131,3109734.79,Ativo
103,Empresa 103 LTDA,Jaraguá do Sul,Tecnologia,2018-08-04,1,1822905.45,Ativo
104,Empresa 104 LTDA,Criciúma,Comércio,2015-03-29,5,612110.08,Ativo
105,Empresa 105 LTDA,Balneário Camboriú,Serviços,2019-03-20,142,3374287.32,Ativo
106,Empresa 106 LTDA,São José,Serviços,2010-12-24,103,2625523.12,Suspenso
107,Empresa 107 LTDA,Balneário Camboriú,Agronegócio,2017-02-19,27,3872976.04,Ativo
108,Empresa 108 LTDA,São José,Turismo,2020-08-10,137,2624809.33,Ativo
109,Empresa 109 LTDA,Itajaí,Tecnologia,2018-07-21,15,4268298.43,Ativo
110,Empresa 110 LTDA,Chapecó,Agronegócio,2018-08-29,90,2781938.85,Suspenso
111,Empresa 111 LTDA,Blumenau,Serviços,2013-05-31,42,2826642.96,Ativo
112,Empresa 112 LTDA,Jaraguá do Sul,Serviços,2021-02-09,124,4389435.33,Ativo
113,Empresa 113 LTDA,Lages,Tecnologia,2010-10-31,63,2047240.19,Ativo
114,Empresa 114 LTDA,Joinville,Indústria,2012-10-31,96,713375.38,Ativo
115,Empresa 115 LTDA,Florianópolis,Indústria,2021-04-07,52,192474.25,Suspenso
116,Empresa 116 LTDA,Joinville,Serviços,2023-03-28,96,3787929.42,Ativo
117,Empresa 117 LTDA,Blumenau,Serviços,2017-06-12,132,3120532.28,Ativo
118,Empresa 118 LTDA,Blumenau,Agronegócio,2012-04-02,143,3535194.85,Ativo
119,Empresa 119 LTDA,São José,Turismo,2019-11-16,29,1104172.6,Inativo
120,Empresa 120 LTDA,Balneário Camboriú,Turismo,2012-03-27,36,725038.8,Ativo
121,Empresa 121 LTDA,Joinville,Agronegócio,2021-10-18,13,121996.1,Ativo
122,Empresa 122 LTDA,São José,Agronegócio,2020-04-01,71,1785408.42,Ativo
123,Empresa 123 LTDA,São José,Comércio,2010-05-06,86,2970092.55,Ativo
124,Empresa 124 LTDA,Balneário Camboriú,Serviços,2013-03-26,28,1991608.02,Ativo
125,Empresa 125 LTDA,Lages,Comércio,2019-03-13,66,2215500.86,Ativo
126,Empresa 126 LTDA,Jaraguá do Sul,Indústria,2013-06-18,45,4525585.54,Ativo
127,Empresa 127 LTDA,Criciúma,Serviços,2011-09-05,62,1773864.56,Ativo
128,Empresa 128 LTDA,Jaraguá do Sul,Serviços,2020-07-13,134,2594247.97,Ativo
129,Empresa 129 LTDA,Florianópolis,Tecnologia,2015-12-12,28,3929082.41,Ativo
130,Empresa 130 LTDA,Joinville,Serviços,2017-08-05,28,2012886.77,Inativo
